tconst,primaryTitle,titleType,startYear,runtimeMinutes,genres
tt0003230,The Old Armchair,movie,1913,\N,\N
tt0003240,On the Steps of the Throne,movie,1913,\N,\N
tt0003241,One Hundred Years of Mormonism,movie,1913,90,"Drama,History"
tt0003243,The Orphan,movie,1913,\N,\N
tt0003267,"The Pendleton, Oregon, Round-Up",movie,1913,\N,Documentary
tt0003287,Pommy Arrives in Australia,movie,1913,\N,Comedy
tt0003289,The Port of Doom,movie,1913,\N,Drama
tt0003294,Primera comunión de las alumnas de las Escuelas Pías,movie,1913,\N,\N
tt0003298,A Princess of Bagdad,movie,1913,\N,"Drama,Fantasy"
tt0003299,A Prisoner in the Harem,movie,1913,\N,Drama
tt0003301,The Prisoner of Zenda,movie,1913,55,Adventure
tt0003305,The Secret of the Well,movie,1914,\N,\N
tt0003306,På livets ödesvägar,movie,1913,57,Drama
tt0003309,Captive Souls,movie,1914,99,\N
tt0003316,The Rattlesnake,movie,1913,56,Western
tt0003324,A Regiment of Two,movie,1913,57,"Comedy,Drama"
tt0003330,The Life of Richard Wagner,movie,1913,110,"Biography,Drama,History"
tt0003334,The Road to Ruin,movie,1913,\N,Drama
tt0003335,The Robbers,movie,1913,56,Drama
tt0003337,Robin Hood,movie,1913,\N,Adventure
tt0003351,Sapho,movie,1913,\N,Drama
tt0003362,The Sea Wolf,movie,1913,70,Drama
tt0003363,The Seed of the Fathers,movie,1913,\N,"Drama,War"
tt0003365,Shadows of the Moulin Rouge,movie,1913,60,Drama
tt0003366,The Shame of the Empire State,movie,1913,\N,Drama
tt0003367,The Shattered Vase,movie,1913,\N,Drama
tt0003376,Silvia Silombra,movie,1913,\N,\N
tt0003378,A Sister to Carmen,movie,1913,\N,Drama
tt0003379,Sixty Years a Queen,movie,1913,\N,Biography
tt0003386,Sodoms Ende,movie,1913,\N,Drama
tt0003387,The Sparrow,movie,1914,\N,\N
tt0003390,Ein Sommernachtstraum in unserer Zeit,movie,1914,\N,\N
tt0003394,Den sorte familie,movie,1914,\N,\N
tt0003404,The Star of India,movie,1913,\N,Drama
tt0003406,Statistinnen des Lebens,movie,1913,\N,\N
tt0003414,The Stranglers of Paris,movie,1913,\N,"Crime,Drama"
tt0003419,The Student of Prague,movie,1913,85,"Drama,Fantasy,Horror"
tt0003423,Die Sumpfblume,movie,1913,53,\N
tt0003431,Die Tangokönigin,movie,1913,60,\N
tt0003438,Ten Nights in a Barroom,movie,1913,\N,Drama
tt0003441,The Terrible Vengeance,movie,1913,\N,\N
tt0003442,Tess of the D'Urbervilles,movie,1913,\N,"Drama,Romance"
tt0003449,The Third Degree,movie,1913,\N,Drama
tt0003456,Through Fire and Air,movie,1913,\N,\N
tt0003464,The Tonopah Stampede for Gold,movie,1913,\N,Western
tt0003465,Tonto de la huerta,movie,1913,\N,\N
tt0003469,Tortures Within Prison Walls,movie,1913,\N,Drama
tt0003470,A Tourada dos Casimiros,movie,1913,\N,Documentary
tt0003471,Traffic in Souls,movie,1913,88,"Crime,Drama"
tt0003472,Trampa y cartón,movie,1913,\N,\N
tt0003489,The Last Days of Pompeii,movie,1913,88,"Adventure,Drama"
tt0003493,Ungarische Rhapsodie,movie,1913,\N,\N
tt0003502,A Venetian Night,movie,1914,52,\N
tt0003504,Der Verführte,movie,1913,54,\N
tt0003506,The Vicar of Wakefield,movie,1913,\N,Drama
tt0003507,The Vicar of Wakefield,movie,1913,\N,Drama
tt0003508,Victory,movie,1913,\N,War
tt0003510,Volunteer Organist,movie,1913,\N,Drama
tt0003511,The Vortex of Fate,movie,1913,\N,\N
tt0003545,Who Will Marry Mary?,movie,1913,\N,"Action,Adventure"
tt0003561,With General Pancho Villa in Mexico,movie,1913,\N,\N
tt0003565,Where Is Coletti?,movie,1913,86,"Comedy,Crime"
tt0003576,The Wreck,movie,1913,48,Drama
tt0003584,"The $5, 000, 000 Counterfeiting Plot",movie,1914,\N,"Crime,Thriller"
tt0003587,'Round the World in 80 Days,movie,1914,\N,Adventure
tt0003589,0-18 or A Message from the Sky,movie,1914,\N,"Crime,Drama"
tt0003590,A 300 éves ember,movie,1914,\N,\N
tt0003593,Across America by Motor Car,movie,1914,\N,Documentary
tt0003595,Across the Pacific,movie,1914,50,"Adventure,Drama,Romance"
tt0003596,The Active Life of Dolly of the Dailies,movie,1914,170,Drama
tt0003597,Adoptivkind,movie,1914,\N,\N
tt0003598,The Adventures of Andy Clark,movie,1914,\N,"Adventure,Comedy"
tt0003599,The Adventures of Buffalo Bill,movie,1917,\N,"Documentary,Western"
tt0003600,The Adventures of Kitty Cobb,movie,1914,\N,Adventure
tt0003602,The Adventures of a Diplomatic Freelance,movie,1914,\N,\N
tt0003605,After the Ball,movie,1914,\N,Drama
tt0003606,Aftermath,movie,1914,\N,Drama
tt0003608,El alcalde de Zalamea,movie,1914,\N,\N
tt0003609,Alexandra,movie,1914,\N,"Drama,Romance"
tt0003610,Alexia o La niña del misterio,movie,1916,\N,\N
tt0003613,Alone in New York,movie,1914,\N,"Crime,Drama"
tt0003617,America,movie,1914,\N,Adventure
tt0003619,Amigas siempre,movie,1914,\N,\N
tt0003622,Love of Perdition,movie,1914,\N,Drama
tt0003623,Amor de pescadora,movie,1914,\N,\N
tt0003625,Anna Karenina,movie,1914,\N,Drama
tt0003629,Apuntes de la fiesta de la flor,movie,1914,\N,Documentary
tt0003630,Golddigger,movie,1914,\N,Western
tt0003631,Aristocracy,movie,1914,\N,Drama
tt0003632,Arme Eva,movie,1916,\N,Drama
tt0003634,As Ye Sow,movie,1914,50,Drama
tt0003637,Assunta Spina,movie,1915,72,Drama
tt0003639,At the Cross Roads,movie,1914,\N,Drama
tt0003643,The Avenging Conscience: or 'Thou Shalt Not Kill',movie,1914,78,"Crime,Drama,Horror"
tt0003651,Badehotellet,movie,1915,\N,Drama
tt0003654,Bandits of the Border Mine,movie,1914,\N,Drama
tt0003655,The Banker's Daughter,movie,1914,\N,Drama
tt0003657,The Bargain,movie,1914,70,Western
tt0003663,Battle of Gettysgoat,movie,1914,\N,Comedy
tt0003664,The Battle of Love,movie,1914,\N,Drama
